8,64,0.3725
4,8,0.3375
4,16,0.325
8,16,0.325
8,8,0.3225
2,2,0.32
4,4,0.3175
16,32,0.3175
2,4,0.315
4,2,0.315
4,32,0.315
16,2,0.315
16,64,0.315
8,2,0.3125
8,4,0.3125
16,4,0.3125
32,2,0.3125
32,16,0.3125
64,8,0.3125
64,32,0.3125
64,64,0.3125
32,4,0.31
32,32,0.31
64,2,0.31
128,2,0.31
128,4,0.31
128,8,0.31
128,16,0.31
256,2,0.31
256,4,0.31
256,8,0.31
256,16,0.31
256,32,0.31
256,64,0.31
4,64,0.3075
8,32,0.3075
16,8,0.3075
32,8,0.3075
64,4,0.3075
64,16,0.3075
128,32,0.3075
16,16,0.305
32,64,0.305
2,8,0.3
128,64,0.3
2,64,0.295
2,32,0.275
2,16,0.2575
